customer_id,gender,tenure_month,contract_type,internet_service,monthly_charges,total_charges,usage_gb,support_tickets,late_payments,churn
CUST00044,Female,49,One year,DSL,25.41,1450.66,23.9,0,1,No
CUST00045,Female,17,Month-to-month,Fiber optic,80.89,1209.08,194.0,2,1,No
CUST00046,Female,60,Two year,Fiber optic,77.67,4896.69,263.2,1,1,Yes
CUST00047,Female,45,Two year,Fiber optic,58.17,2572.01,99.5,1,0,Yes
CUST00048,Male,69,Month-to-month,Fiber optic,80.18,5360.14,36.2,2,0,Yes
CUST00049,Female,32,One year,DSL,53.27,1734.91,141.7,3,1,Yes
CUST00050,Female,44,One year,Fiber optic,85.59,3613.47,42.8,2,0,No
CUST00051,Male,65,Month-to-month,Fiber optic,130.0,8455.5,124.3,0,0,No
CUST00052,Female,8,Two year,No,36.47,199.35,119.4,0,0,No
CUST00053,Male,72,Month-to-month,No,66.13,4912.57,127.4,1,1,No
CUST00054,Female,43,Two year,No,62.44,2706.8,129.3,1,0,No
CUST00055,Male,1,Month-to-month,No,68.04,20.0,82.9,4,0,Yes
CUST00056,Female,51,Two year,Fiber optic,101.46,5078.93,37.3,2,1,No
CUST00057,Female,24,Month-to-month,Fiber optic,90.49,2284.55,147.0,2,2,Yes
CUST00058,Male,24,Month-to-month,DSL,97.52,2546.41,109.8,0,0,Yes
CUST00059,Male,17,Two year,DSL,78.7,1330.66,95.0,0,1,No
CUST00060,Male,5,Month-to-month,Fiber optic,47.59,70.85,38.8,2,0,Yes
CUST00061,Male,20,Month-to-month,DSL,52.36,1215.85,63.2,0,0,No
CUST00062,Male,21,Two year,Fiber optic,95.16,2110.45,105.5,2,0,Yes
CUST00063,Male,58,Two year,Fiber optic,81.93,4960.99,266.0,1,2,No
CUST00064,Male,31,One year,DSL,106.98,3362.81,46.1,1,0,No
CUST00065,Male,11,One year,DSL,84.75,848.95,78.2,1,0,No
CUST00066,Female,52,Month-to-month,DSL,50.79,2723.78,155.0,2,0,Yes
CUST00067,Female,15,Month-to-month,Fiber optic,66.0,1042.21,50.6,0,0,Yes
CUST00068,Male,7,Month-to-month,No,90.99,544.95,156.0,1,1,Yes
CUST00069,Female,28,One year,Fiber optic,94.34,2673.3,30.8,5,1,Yes
CUST00070,Female,51,One year,Fiber optic,97.67,4949.97,36.3,1,0,No
CUST00071,Female,58,One year,No,53.88,3244.01,172.4,0,0,No
CUST00072,Female,5,One year,No,50.38,330.62,135.5,0,0,No
CUST00073,Male,5,Month-to-month,No,73.63,199.9,195.6,2,0,Yes
CUST00074,Female,8,Month-to-month,DSL,111.12,704.57,213.8,3,1,No
CUST00075,Male,64,Month-to-month,DSL,62.04,3956.19,175.6,0,2,Yes
CUST00076,Female,10,Month-to-month,DSL,88.46,889.85,36.8,4,0,Yes
CUST00077,Female,38,Month-to-month,Fiber optic,88.47,3483.62,78.0,0,0,Yes
CUST00078,Female,8,Two year,Fiber optic,95.5,846.13,10.8,1,1,Yes
CUST00079,Male,25,Month-to-month,Fiber optic,116.28,3140.39,92.0,1,1,No
CUST00080,Female,66,Month-to-month,Fiber optic,113.92,7443.97,130.4,0,2,Yes
CUST00081,Male,50,Month-to-month,DSL,64.32,3132.11,144.3,1,0,No
CUST00082,Female,67,One year,DSL,29.75,1839.68,75.7,1,1,No
CUST00083,Male,49,One year,Fiber optic,62.39,3177.02,69.0,2,0,Yes
CUST00084,Female,36,Month-to-month,Fiber optic,79.74,2874.12,99.2,2,1,No
CUST00085,Male,68,Month-to-month,DSL,69.68,4441.66,96.3,3,0,No
CUST00086,Male,41,One year,Fiber optic,123.26,5086.01,60.3,0,1,Yes
CUST00087,Female,62,Month-to-month,No,78.43,4905.22,41.4,2,0,Yes
CUST00088,Male,10,Two year,DSL,93.04,907.3,74.3,3,0,No
CUST00089,Female,21,One year,DSL,83.0,1790.46,125.7,1,1,No
CUST00090,Female,36,Month-to-month,DSL,70.03,2325.84,88.5,0,1,No
CUST00091,Female,12,Month-to-month,DSL,33.73,667.33,25.5,1,0,Yes
CUST00092,Female,2,Two year,Fiber optic,76.19,213.22,24.4,1,0,No
CUST00093,Female,13,Month-to-month,DSL,130.0,1406.21,114.3,1,0,Yes
CUST00094,Female,53,Month-to-month,DSL,49.38,2616.2,98.3,1,0,No
CUST00095,Female,32,Two year,Fiber optic,36.26,1225.4,114.6,3,0,No
CUST00096,Female,16,Two year,No,122.54,1782.57,151.1,1,0,No
CUST00097,Female,32,Two year,DSL,95.07,3127.62,101.3,1,0,No
CUST00098,Female,32,One year,DSL,82.31,2902.87,57.2,2,0,Yes
CUST00099,Female,11,Month-to-month,No,109.34,1099.64,99.8,2,1,Yes
CUST00100,Male,10,Month-to-month,No,58.88,657.35,86.7,2,0,No
CUST00101,Male,15,One year,DSL,75.55,1166.63,137.7,1,1,No
CUST00102,Female,17,One year,DSL,99.97,1854.42,195.0,0,1,No
CUST00103,Female,40,Month-to-month,DSL,126.54,5044.19,51.2,1,0,Yes
CUST00104,Female,18,Two year,DSL,51.12,749.49,183.2,2,1,No
CUST00105,Female,55,Month-to-month,DSL,107.46,6054.97,80.0,1,1,Yes
CUST00106,Female,25,Month-to-month,DSL,86.78,2008.34,77.3,1,1,No
CUST00107,Female,59,Month-to-month,Fiber optic,81.75,5112.67,193.6,3,0,Yes
CUST00108,Female,22,Month-to-month,No,77.82,1801.76,176.9,1,1,Yes
CUST00109,Female,30,Month-to-month,No,46.15,1288.68,75.7,3,1,Yes
CUST00110,Male,44,Month-to-month,Fiber optic,100.15,4583.98,56.2,0,1,Yes
CUST00111,Female,32,Month-to-month,DSL,60.01,1918.85,131.2,1,0,Yes
CUST00112,Male,51,One year,Fiber optic,53.17,2676.25,107.6,0,2,No
CUST00113,Female,46,One year,Fiber optic,98.37,4416.08,74.0,1,0,No
CUST00114,Female,21,One year,DSL,96.15,1718.64,173.9,0,0,No
CUST00115,Male,32,Two year,Fiber optic,79.82,2650.94,86.4,1,0,No
CUST00116,Female,39,Month-to-month,DSL,102.83,3749.87,59.5,0,0,No
CUST00117,Male,12,Month-to-month,DSL,110.8,1202.67,120.2,1,1,Yes
CUST00118,Female,47,Two year,DSL,108.09,5149.49,44.9,1,2,No
CUST00119,Female,18,Month-to-month,Fiber optic,65.85,1105.19,71.8,4,0,Yes
CUST00120,Male,21,Two year,Fiber optic,101.32,2152.86,154.4,1,0,No
CUST00121,Female,13,Month-to-month,DSL,82.87,883.12,101.5,2,0,No
CUST00122,Male,21,Two year,No,117.7,2415.95,106.1,0,1,No
CUST00123,Female,8,Month-to-month,DSL,75.15,627.34,70.2,2,1,No
CUST00124,Male,46,Two year,Fiber optic,69.8,3058.56,79.0,1,0,No
CUST00125,Male,7,Month-to-month,DSL,63.88,716.98,49.4,1,0,No
CUST00126,Female,23,Two year,DSL,82.35,1792.06,110.2,2,0,No
CUST00127,Female,22,Month-to-month,DSL,88.73,2172.61,49.1,2,0,Yes
CUST00128,Male,22,One year,Fiber optic,89.18,1935.11,47.6,1,0,Yes
CUST00129,Female,29,Two year,DSL,86.03,2243.91,84.2,1,2,No
CUST00130,Female,13,Month-to-month,DSL,93.43,1032.69,150.7,4,0,Yes
CUST00131,Female,2,One year,No,72.88,173.93,51.8,2,0,No
CUST00132,Male,29,One year,Fiber optic,57.93,1845.21,147.2,4,0,Yes
CUST00133,Male,52,Month-to-month,DSL,55.92,3191.0,125.2,1,0,No
CUST00134,Male,27,One year,No,100.43,2732.12,24.6,1,0,No
CUST00135,Male,50,One year,Fiber optic,88.82,4252.64,100.2,0,0,No
CUST00136,Male,23,Two year,No,35.32,856.92,50.4,1,0,No
CUST00137,Male,44,Month-to-month,DSL,103.23,4410.09,92.5,2,0,Yes
CUST00138,Male,22,Month-to-month,Fiber optic,121.25,2730.25,75.8,1,0,No
CUST00139,Male,43,Two year,Fiber optic,61.53,2495.15,211.2,1,1,Yes
CUST00140,Male,37,Two year,DSL,85.73,2837.68,122.7,1,0,Yes
CUST00141,Female,61,Month-to-month,Fiber optic,67.11,4304.41,77.9,2,0,No
CUST00142,Male,56,One year,DSL,92.45,5140.97,103.8,3,2,Yes
CUST00143,Female,3,Month-to-month,Fiber optic,51.18,161.49,143.5,0,0,No
CUST00144,Female,63,Month-to-month,DSL,76.36,4970.15,93.2,1,0,No
CUST00145,Female,19,Month-to-month,Fiber optic,100.57,2211.45,201.9,0,1,Yes
CUST00146,Male,23,Month-to-month,No,106.42,2562.87,95.3,0,0,No
CUST00147,Male,29,One year,No,87.81,2562.97,111.8,2,1,No
CUST00148,Male,30,Month-to-month,No,70.2,2180.06,87.8,1,0,No
CUST00149,Male,39,Two year,DSL,41.37,1566.26,63.2,0,0,No
CUST00150,Female,25,Two year,Fiber optic,60.58,1520.28,73.8,4,0,Yes
CUST00151,Male,8,One year,DSL,67.21,560.86,90.2,1,0,No
CUST00152,Male,58,Month-to-month,Fiber optic,61.95,3467.24,160.1,2,1,No
CUST00153,Male,16,Month-to-month,Fiber optic,79.37,1273.31,175.0,0,0,Yes
CUST00154,Male,72,Two year,Fiber optic,70.14,5108.82,213.7,2,1,No
CUST00155,Male,1,One year,DSL,81.96,164.68,62.3,1,0,No
CUST00156,Female,5,Month-to-month,DSL,105.66,598.27,135.6,1,1,Yes
CUST00157,Male,3,Two year,DSL,68.65,20.0,164.6,4,1,No
CUST00158,Female,65,Two year,Fiber optic,46.19,3199.03,55.8,2,2,No
CUST00159,Male,4,Two year,Fiber optic,61.86,430.84,98.3,1,2,No
CUST00160,Female,64,One year,No,91.42,5835.5,32.7,1,0,No
CUST00161,Male,10,One year,Fiber optic,93.59,1008.78,127.6,0,0,Yes
CUST00162,Male,21,Month-to-month,DSL,87.34,1799.49,173.8,3,0,No
CUST00163,Female,46,Two year,Fiber optic,107.92,5084.63,41.9,2,0,No
CUST00164,Female,27,Two year,DSL,73.71,1859.89,65.5,1,1,No
CUST00165,Female,66,Month-to-month,DSL,125.2,8477.99,64.5,3,0,Yes
CUST00166,Male,41,Month-to-month,Fiber optic,96.82,4081.97,54.0,3,1,Yes
CUST00167,Female,13,Month-to-month,Fiber optic,20.0,376.07,98.6,2,0,Yes
CUST00168,Male,9,Two year,DSL,119.42,1057.97,122.0,0,0,Yes
CUST00169,Male,36,Two year,DSL,60.36,1946.94,132.0,2,0,No
CUST00170,Female,58,Month-to-month,Fiber optic,54.22,3286.19,148.3,0,0,Yes
CUST00171,Female,54,One year,No,90.05,4641.97,215.0,0,1,No
CUST00172,Male,12,Month-to-month,Fiber optic,38.02,599.6,97.5,2,0,Yes
CUST00173,Male,14,Two year,Fiber optic,62.0,744.46,81.7,3,0,Yes
CUST00174,Female,34,Two year,No,113.81,3615.61,212.0,0,1,No
CUST00175,Female,53,Two year,Fiber optic,90.79,4812.03,98.1,3,0,Yes
CUST00176,Female,20,Month-to-month,DSL,96.68,2122.85,73.5,0,0,No
CUST00177,Male,16,Month-to-month,Fiber optic,62.89,851.74,186.5,0,1,Yes
CUST00178,Male,70,Month-to-month,Fiber optic,42.62,3239.25,83.4,2,0,No
CUST00179,Male,56,Month-to-month,No,94.26,5383.64,130.8,1,1,Yes
CUST00180,Male,58,Two year,Fiber optic,99.4,5790.28,71.6,0,0,No
CUST00181,Male,4,Two year,No,98.35,323.7,126.4,1,0,No
CUST00182,Male,4,Two year,Fiber optic,82.81,272.7,132.9,2,0,No
CUST00183,Female,20,Two year,Fiber optic,55.76,1184.03,186.3,0,0,Yes
CUST00184,Male,10,One year,Fiber optic,130.0,1435.37,82.8,3,0,Yes
CUST00185,Male,24,One year,DSL,89.04,2042.0,102.9,0,0,No
CUST00186,Male,26,Two year,Fiber optic,74.0,1794.96,116.9,0,0,No
CUST00187,Female,37,Two year,No,74.1,2707.49,96.5,0,0,No
CUST00188,Male,54,Month-to-month,DSL,81.44,4620.74,64.2,2,0,Yes
CUST00189,Male,21,Month-to-month,No,102.6,1959.9,156.9,1,3,Yes
CUST00190,Female,38,Month-to-month,Fiber optic,82.36,3312.48,100.5,0,0,No
CUST00191,Male,46,Two year,No,97.75,4503.26,38.7,4,0,No
CUST00192,Male,4,One year,DSL,81.48,61.48,49.8,3,0,No
CUST00193,Male,60,Month-to-month,DSL,75.42,4451.34,80.4,1,0,Yes
CUST00194,Male,57,One year,DSL,92.75,5384.3,71.0,1,1,No
CUST00195,Male,45,One year,DSL,91.88,4422.89,44.4,2,0,Yes
CUST00196,Female,20,Month-to-month,DSL,74.1,1269.62,51.5,1,1,Yes
CUST00197,Female,17,Month-to-month,Fiber optic,60.77,582.02,199.5,5,0,No
CUST00198,Female,71,One year,Fiber optic,85.86,5886.53,153.6,2,0,No
CUST00199,Male,4,Month-to-month,No,79.8,500.07,175.1,0,0,Yes
CUST00200,Male,14,One year,DSL,65.24,626.36,196.3,0,1,Yes
CUST00201,Male,3,Month-to-month,DSL,58.62,415.42,80.1,0,0,Yes
CUST00202,Female,58,Two year,DSL,87.44,5265.89,126.4,3,3,Yes
CUST00203,Male,55,One year,Fiber optic,90.65,5016.32,24.2,1,0,No
CUST00204,Male,4,One year,Fiber optic,69.72,178.66,122.3,4,0,No
CUST00205,Female,24,Two year,DSL,64.66,1560.68,61.9,3,0,No
CUST00206,Male,34,Month-to-month,Fiber optic,58.9,2100.37,72.3,3,0,Yes
CUST00207,Female,30,Month-to-month,Fiber optic,86.79,2677.06,108.3,2,1,Yes
CUST00208,Female,19,Month-to-month,DSL,59.51,1409.04,93.0,1,0,No
CUST00209,Female,31,One year,Fiber optic,129.55,3974.43,70.6,0,0,No
CUST00210,Male,60,One year,DSL,68.56,3905.47,72.6,0,0,No
CUST00211,Male,60,One year,Fiber optic,22.22,1096.84,55.7,0,1,No
CUST00212,Male,19,Month-to-month,DSL,77.31,1200.52,43.6,1,2,Yes
CUST00213,Male,49,Month-to-month,Fiber optic,76.32,3771.08,42.1,1,1,Yes
CUST00214,Male,63,Month-to-month,DSL,103.57,6487.41,138.9,1,0,No
CUST00215,Male,22,Month-to-month,Fiber optic,84.63,1867.08,82.6,1,0,Yes
CUST00216,Male,24,One year,Fiber optic,58.82,1325.75,182.2,2,0,Yes
CUST00217,Female,30,Month-to-month,Fiber optic,71.41,1964.67,131.1,1,0,No
CUST00218,Male,58,Month-to-month,DSL,85.53,5059.03,114.6,0,1,Yes
CUST00219,Female,31,Two year,DSL,28.21,480.42,50.2,0,1,Yes
CUST00220,Male,64,Month-to-month,Fiber optic,108.79,6834.3,49.6,1,0,Yes
CUST00221,Male,19,Month-to-month,DSL,58.88,1244.56,98.9,2,1,No
CUST00222,Male,48,One year,No,110.59,5164.19,95.4,0,0,No
CUST00223,Female,45,Month-to-month,DSL,87.03,3979.02,73.2,1,0,Yes
CUST00224,Female,55,One year,Fiber optic,92.48,4958.36,112.8,0,1,No
CUST00225,Female,55,Two year,DSL,104.44,5671.26,107.8,0,0,No
CUST00226,Female,18,Two year,Fiber optic,91.18,1733.23,98.0,0,0,No
CUST00227,Male,63,Month-to-month,Fiber optic,93.48,5684.78,158.6,2,1,Yes
CUST00228,Female,47,Two year,No,74.22,3607.58,209.5,3,0,No
CUST00229,Male,57,Month-to-month,Fiber optic,86.56,4941.27,93.7,3,0,Yes
CUST00230,Male,45,Month-to-month,DSL,64.49,3103.08,79.9,0,1,No
CUST00231,Female,33,Month-to-month,DSL,70.1,2346.6,215.7,1,0,No
CUST00232,Female,17,Two year,DSL,123.19,1923.11,102.6,1,0,No
CUST00233,Female,70,Month-to-month,DSL,59.41,4435.18,136.4,2,1,No
CUST00234,Female,4,Month-to-month,Fiber optic,81.55,168.45,61.5,2,0,No
CUST00235,Female,20,One year,Fiber optic,80.61,1575.86,60.9,1,1,No
CUST00236,Female,47,Month-to-month,DSL,70.85,3483.14,80.3,0,0,No
CUST00237,Female,15,Month-to-month,Fiber optic,89.83,1046.66,101.1,1,0,Yes
CUST00238,Female,70,Month-to-month,Fiber optic,91.56,6639.55,105.0,0,2,No
CUST00239,Male,47,Month-to-month,Fiber optic,56.71,2481.23,75.3,0,0,Yes
CUST00240,Female,9,Month-to-month,Fiber optic,80.33,650.17,116.5,1,0,No
CUST00241,Female,16,Month-to-month,Fiber optic,53.11,895.98,111.8,1,2,No
CUST00242,Male,69,One year,Fiber optic,96.14,6626.99,190.8,2,0,Yes
CUST00243,Female,61,Month-to-month,DSL,82.06,5131.93,62.2,3,1,No
CUST00244,Male,10,Month-to-month,DSL,79.89,542.77,132.9,2,0,No
CUST00245,Male,50,Two year,DSL,93.16,4774.39,92.8,0,0,No
CUST00246,Female,3,Month-to-month,Fiber optic,71.66,344.14,71.1,2,0,Yes
CUST00247,Male,70,One year,Fiber optic,99.02,7096.08,49.2,0,0,No
CUST00248,Male,51,Month-to-month,Fiber optic,56.19,2611.34,102.7,2,1,No
CUST00249,Male,19,Month-to-month,DSL,110.47,1863.9,80.1,2,0,No
CUST00250,Male,42,Month-to-month,DSL,65.33,2689.08,98.9,1,0,Yes
CUST00251,Female,35,Month-to-month,Fiber optic,38.99,1146.92,45.9,2,0,No
CUST00252,Male,46,Month-to-month,No,70.44,2951.61,101.4,0,0,No
CUST00253,Female,26,Month-to-month,Fiber optic,67.83,1701.91,98.2,1,0,Yes
CUST00254,Male,69,Month-to-month,DSL,70.27,4886.08,137.8,1,1,No
CUST00255,Male,64,Month-to-month,DSL,83.33,5780.96,183.4,0,0,Yes
CUST00256,Male,37,Month-to-month,No,103.25,3908.04,114.2,1,0,Yes
CUST00257,Male,49,Month-to-month,DSL,73.59,3886.27,68.4,2,0,Yes
CUST00258,Female,21,Month-to-month,DSL,62.09,1296.83,102.9,1,1,No
CUST00259,Female,64,Month-to-month,Fiber optic,52.09,3423.29,83.5,3,1,No
CUST00260,Male,5,One year,DSL,67.23,312.77,112.6,1,1,Yes
CUST00261,Male,70,Month-to-month,Fiber optic,34.58,2849.9,36.1,1,1,Yes
CUST00262,Female,4,One year,No,61.32,135.59,154.4,1,0,No
CUST00263,Male,39,One year,DSL,106.61,4069.79,61.3,1,2,Yes
CUST00264,Male,35,Month-to-month,DSL,59.06,2194.55,59.8,1,0,No
CUST00265,Male,1,Two year,DSL,92.46,125.66,95.4,0,0,No
CUST00266,Female,24,Two year,DSL,49.79,1127.09,83.3,3,1,No
CUST00267,Female,57,Month-to-month,DSL,118.74,6921.84,112.7,0,0,No
CUST00268,Female,70,Month-to-month,DSL,120.26,8411.62,100.0,2,1,No
CUST00269,Male,41,Two year,Fiber optic,91.59,3747.48,142.7,5,1,Yes
CUST00270,Male,54,One year,Fiber optic,123.8,6722.09,85.1,0,1,Yes
CUST00271,Female,46,Month-to-month,Fiber optic,86.18,3686.82,102.0,2,0,Yes
CUST00272,Female,60,Month-to-month,Fiber optic,95.68,5485.88,194.9,1,1,Yes
CUST00273,Female,60,Month-to-month,No,107.02,6595.1,61.9,1,1,Yes
CUST00274,Female,57,Month-to-month,Fiber optic,82.13,4573.1,53.6,1,0,No
CUST00275,Male,31,One year,No,42.3,1290.03,96.5,1,1,No
CUST00276,Female,24,Month-to-month,Fiber optic,96.15,2565.59,36.5,2,0,Yes
CUST00277,Male,36,Month-to-month,Fiber optic,67.15,2403.34,55.8,0,1,Yes
CUST00278,Female,30,One year,DSL,68.86,2032.19,48.0,1,0,No
CUST00279,Male,24,Month-to-month,DSL,84.85,2179.77,20.5,1,0,Yes
CUST00280,Female,30,Month-to-month,DSL,91.02,2634.88,63.4,1,2,No
CUST00281,Female,7,One year,DSL,81.45,762.62,79.3,2,2,Yes
CUST00282,Female,35,Two year,DSL,92.62,3381.79,65.8,1,1,No
CUST00283,Female,55,Month-to-month,Fiber optic,61.74,3688.55,46.4,1,0,Yes
CUST00284,Male,14,Month-to-month,No,77.02,967.83,23.1,2,2,Yes
CUST00285,Female,10,Month-to-month,No,97.53,1194.02,74.0,1,0,No
CUST00286,Male,16,Month-to-month,DSL,118.77,1988.97,79.5,2,0,Yes
CUST00287,Male,54,Month-to-month,Fiber optic,126.91,6641.08,35.2,1,0,No
CUST00288,Male,70,Month-to-month,DSL,87.96,5741.81,73.2,1,0,No
CUST00289,Male,44,Month-to-month,Fiber optic,97.32,4154.4,84.9,2,0,No
CUST00290,Female,45,Month-to-month,Fiber optic,123.58,5607.88,101.7,1,0,No
CUST00291,Male,56,Month-to-month,Fiber optic,62.57,3573.9,119.9,1,0,No
CUST00292,Male,57,Month-to-month,DSL,92.48,5261.91,137.4,0,1,No
CUST00293,Male,21,Month-to-month,No,95.67,2001.05,61.3,2,0,Yes
CUST00294,Female,68,Month-to-month,DSL,111.3,7548.24,63.4,1,0,Yes
CUST00295,Female,50,Month-to-month,DSL,51.85,2757.49,49.3,2,0,No
CUST00296,Female,33,Two year,Fiber optic,56.39,1631.06,83.6,2,0,Yes
CUST00297,Female,7,One year,Fiber optic,78.49,592.36,80.6,1,0,No
CUST00298,Male,70,One year,Fiber optic,86.69,5936.66,19.1,2,1,Yes
CUST00299,Male,15,One year,No,103.83,1412.4,40.6,3,2,Yes
CUST00300,Female,32,Month-to-month,Fiber optic,89.9,3065.0,86.7,3,0,Yes
CUST00301,Male,20,Month-to-month,No,74.52,1333.08,13.6,0,1,No
CUST00302,Male,15,Month-to-month,DSL,87.58,1291.38,100.9,1,0,Yes
CUST00303,Male,48,One year,Fiber optic,84.92,4389.52,49.9,4,1,Yes
CUST00304,Female,71,One year,DSL,118.14,8522.03,144.6,0,0,No
CUST00305,Female,21,Month-to-month,DSL,81.81,1645.21,155.8,1,0,Yes
CUST00306,Male,42,Month-to-month,No,69.19,2846.4,66.6,0,0,Yes
CUST00307,Female,26,Month-to-month,No,88.34,2100.49,81.3,0,0,Yes
CUST00308,Female,14,Month-to-month,Fiber optic,82.57,1364.08,86.1,3,0,Yes
CUST00309,Female,57,One year,Fiber optic,41.87,2548.41,105.4,1,3,No
CUST00310,Female,37,One year,DSL,77.64,2982.54,84.3,2,2,No
CUST00311,Female,58,Month-to-month,No,75.68,4516.93,90.4,0,0,No
CUST00312,Male,21,Two year,Fiber optic,65.49,1251.37,48.5,0,0,No
CUST00313,Female,69,One year,DSL,101.82,6777.91,58.0,3,0,No
CUST00314,Male,3,Month-to-month,DSL,59.93,269.48,86.0,2,0,Yes
CUST00315,Male,37,Month-to-month,DSL,88.48,3415.93,92.4,2,1,No
CUST00316,Female,49,Month-to-month,Fiber optic,74.6,3912.53,188.8,6,0,Yes
CUST00317,Male,19,Month-to-month,DSL,80.48,1496.98,112.8,0,0,Yes
CUST00318,Male,12,Month-to-month,No,87.47,994.16,46.5,1,0,Yes
CUST00319,Male,61,Month-to-month,Fiber optic,47.93,2885.45,77.7,0,0,No
CUST00320,Female,41,Month-to-month,Fiber optic,82.41,3486.13,75.0,0,0,No
CUST00321,Female,33,Month-to-month,No,130.0,4244.87,81.7,0,1,Yes
CUST00322,Male,50,Two year,Fiber optic,42.19,2101.14,98.6,5,1,Yes
CUST00323,Female,68,Month-to-month,No,76.68,5347.21,69.6,2,0,No
CUST00324,Female,71,Month-to-month,DSL,103.83,7271.8,162.9,2,0,No
CUST00325,Female,33,Month-to-month,Fiber optic,84.94,3025.6,43.9,1,1,Yes
CUST00326,Female,24,Two year,No,93.82,2352.97,86.0,1,1,No
CUST00327,Male,61,Month-to-month,Fiber optic,23.36,1127.74,205.0,0,2,Yes
CUST00328,Male,61,Month-to-month,DSL,91.76,5514.9,63.9,2,1,Yes
CUST00329,Female,28,Two year,Fiber optic,60.48,1369.55,64.5,2,1,Yes
CUST00330,Female,58,Two year,DSL,85.13,4906.07,198.4,4,0,No
CUST00331,Male,43,Two year,Fiber optic,77.32,3245.03,109.0,2,1,No
CUST00332,Male,41,Month-to-month,Fiber optic,130.0,5463.58,88.0,0,0,Yes
CUST00333,Female,39,Month-to-month,No,90.57,3391.27,87.5,1,1,Yes
CUST00334,Male,49,One year,Fiber optic,75.41,3757.13,153.6,0,0,No
CUST00335,Female,17,Two year,DSL,43.28,826.78,66.7,2,1,No
CUST00336,Female,70,One year,Fiber optic,80.79,5696.45,42.6,3,0,Yes
CUST00337,Male,70,One year,DSL,96.93,6967.52,44.4,5,1,No
CUST00338,Male,65,Month-to-month,Fiber optic,76.15,5280.68,107.1,1,1,No
